seq;common_name_de;order_name;family_name;scientific_name;common_name_en
1;Ringelgans;Anseriformes;Anatidae;Branta bernicla;Brant Goose
2;Rothalsgans;Anseriformes;Anatidae;Branta ruficollis;Red-breasted Goose
3;Kanadagans;Anseriformes;Anatidae;Branta canadensis;Canada Goose
4;Weißwangengans;Anseriformes;Anatidae;Branta leucopsis;Barnacle Goose
5;Zwergkanadagans;Anseriformes;Anatidae;Branta hutchinsii;Cackling Goose
6;Streifengans;Anseriformes;Anatidae;Anser indicus;Bar-headed Goose
7;Schneegans;Anseriformes;Anatidae;Anser caerulescens;Snow Goose
8;Graugans;Anseriformes;Anatidae;Anser anser;Greylag Goose
9;Waldsaatgans;Anseriformes;Anatidae;Anser fabalis;Taiga Bean Goose
10;Kurzschnabelgans;Anseriformes;Anatidae;Anser brachyrhynchus;Pink-footed Goose
11;Tundrasaatgans;Anseriformes;Anatidae;Anser serrirostris;Tundra Bean Goose
12;Blässgans;Anseriformes;Anatidae;Anser albifrons;Greater White-fronted Goose
13;Zwerggans;Anseriformes;Anatidae;Anser erythropus;Lesser White-fronted Goose
14;Trauerschwan (Schwarzschwan);Anseriformes;Anatidae;Cygnus atratus;Black Swan
15;Höckerschwan;Anseriformes;Anatidae;Cygnus olor;Mute Swan
16;Zwergschwan;Anseriformes;Anatidae;Cygnus columbianus;Tundra Swan
17;Singschwan;Anseriformes;Anatidae;Cygnus cygnus;Whooper Swan
18;Nilgans;Anseriformes;Anatidae;Alopochen aegyptiaca;Egyptian Goose
19;Brandgans;Anseriformes;Anatidae;Tadorna tadorna;Common Shelduck
20;Rostgans;Anseriformes;Anatidae;Tadorna ferruginea;Ruddy Shelduck
21;Moschusente;Anseriformes;Anatidae;Cairina moschata f. dom.;Muscovy Duck
22;Brautente;Anseriformes;Anatidae;Aix sponsa;Wood Duck
23;Mandarinente;Anseriformes;Anatidae;Aix galericulata;Mandarin Duck
24;Knäkente;Anseriformes;Anatidae;Spatula querquedula;Garganey
25;Blauflügelente;Anseriformes;Anatidae;Spatula discors;Blue-winged Teal
26;Löffelente;Anseriformes;Anatidae;Spatula clypeata;Northern Shoveler
27;Schnatterente;Anseriformes;Anatidae;Mareca strepera;Gadwall
28;Sichelente;Anseriformes;Anatidae;Mareca falcata;Falcated Duck
29;Pfeifente;Anseriformes;Anatidae;Mareca penelope;Eurasian Wigeon
30;Nordamerikanische Pfeifente (Kanadapfeifente);Anseriformes;Anatidae;Mareca americana;American Wigeon
31;Stockente;Anseriformes;Anatidae;Anas platyrhynchos;Mallard
32;Spießente;Anseriformes;Anatidae;Anas acuta;Northern Pintail
33;Krickente;Anseriformes;Anatidae;Anas crecca;Eurasian Teal
34;Amerikanische Krickente (Carolinakrickente);Anseriformes;Anatidae;Anas carolinensis;Green-winged Teal
35;Kolbenente;Anseriformes;Anatidae;Netta rufina;Red-crested Pochard
36;Tafelente;Anseriformes;Anatidae;Aythya ferina;Common Pochard
37;Moorente;Anseriformes;Anatidae;Aythya nyroca;Ferruginous Duck
38;Ringschnabelente;Anseriformes;Anatidae;Aythya collaris;Ring-necked Duck
39;Reiherente;Anseriformes;Anatidae;Aythya fuligula;Tufted Duck
40;Bergente;Anseriformes;Anatidae;Aythya marila;Greater Scaup
41;Eiderente;Anseriformes;Anatidae;Somateria mollissima;Common Eider
42;Kragenente;Anseriformes;Anatidae;Histrionicus histrionicus;Harlequin Duck
43;Samtente;Anseriformes;Anatidae;Melanitta fusca;Velvet Scoter
44;Trauerente;Anseriformes;Anatidae;Melanitta nigra;Common Scoter
45;Eisente;Anseriformes;Anatidae;Clangula hyemalis;Long-tailed Duck
46;Schellente;Anseriformes;Anatidae;Bucephala clangula;Common Goldeneye
47;Zwergsäger;Anseriformes;Anatidae;Mergellus albellus;Smew
48;Gänsesäger;Anseriformes;Anatidae;Mergus merganser;Common Merganser
49;Mittelsäger;Anseriformes;Anatidae;Mergus serrator;Red-breasted Merganser
50;Schwarzkopf-Ruderente;Anseriformes;Anatidae;Oxyura jamaicensis;Ruddy Duck
51;Weißkopf-Ruderente;Anseriformes;Anatidae;Oxyura leucocephala;White-headed Duck
52;Truthuhn;Galliformes;Phasianidae;Meleagris gallopavo;Wild Turkey
53;Haselhuhn;Galliformes;Phasianidae;Tetrastes bonasia;Hazel Grouse
54;Alpenschneehuhn;Galliformes;Phasianidae;Lagopus muta;Rock Ptarmigan
55;Auerhuhn;Galliformes;Phasianidae;Tetrao urogallus;Western Capercaillie
56;Birkhuhn;Galliformes;Phasianidae;Lyrurus tetrix;Black Grouse
57;Rebhuhn;Galliformes;Phasianidae;Perdix perdix;Grey Partridge
58;Fasan (Jagdfasan);Galliformes;Phasianidae;Phasianus colchicus;Common Pheasant
59;Pfau;Galliformes;Phasianidae;Pavo cristatus;Indian Peafowl
60;Wachtel;Galliformes;Phasianidae;Coturnix coturnix;Common Quail
61;Chukarhuhn;Galliformes;Phasianidae;Alectoris chukar;Chukar Partridge
62;Steinhuhn;Galliformes;Phasianidae;Alectoris graeca;Rock Partridge
63;Ziegenmelker (Nachtschwalbe);Caprimulgiformes;Caprimulgidae;Caprimulgus europaeus;European Nightjar
64;Alpensegler;Apodiformes;Apodidae;Tachymarptis melba;Alpine Swift
65;Mauersegler;Apodiformes;Apodidae;Apus apus;Common Swift
66;Großtrappe;Otidiformes;Otididae;Otis tarda;Great Bustard
67;Steppenkragentrappe;Otidiformes;Otididae;Chlamydotis macqueenii;Macqueen's Bustard
68;Zwergtrappe;Otidiformes;Otididae;Tetrax tetrax;Little Bustard
69;Häherkuckuck;Cuculiformes;Cuculidae;Clamator glandarius;Great Spotted Cuckoo
70;Kuckuck;Cuculiformes;Cuculidae;Cuculus canorus;Common Cuckoo
71;Steppenflughuhn;Pterocliformes;Pteroclidae;Syrrhaptes paradoxus;Pallas's Sandgrouse
72;Straßentaube;Columbiformes;Columbidae;Columba livia f. domestica;Feral Pigeon
73;Hohltaube;Columbiformes;Columbidae;Columba oenas;Stock Dove
74;Ringeltaube;Columbiformes;Columbidae;Columba palumbus;Common Wood Pigeon
75;Turteltaube;Columbiformes;Columbidae;Streptopelia turtur;European Turtle Dove
76;Orientturteltaube;Columbiformes;Columbidae;Streptopelia orientalis;Oriental Turtle Dove
77;Türkentaube;Columbiformes;Columbidae;Streptopelia decaocto;Eurasian Collared Dove
78;Wasserralle;Gruiformes;Rallidae;Rallus aquaticus;Water Rail
79;Wachtelkönig;Gruiformes;Rallidae;Crex crex;Corn Crake
80;Tüpfelsumpfhuhn;Gruiformes;Rallidae;Porzana porzana;Spotted Crake
81;Teichhuhn;Gruiformes;Rallidae;Gallinula chloropus;Common Moorhen
82;Blässhuhn;Gruiformes;Rallidae;Fulica atra;Eurasian Coot
83;Graukopf-Purpurhuhn;Gruiformes;Rallidae;Porphyrio poliocephalus;Grey-headed Swamphen
84;Zwergsumpfhuhn;Gruiformes;Rallidae;Zapornia pusilla;Baillon's Crake
85;Kleines Sumpfhuhn (Kleinsumpfhuhn);Gruiformes;Rallidae;Zapornia parva;Little Crake
86;Jungfernkranich;Gruiformes;Gruidae;Grus virgo;Demoiselle Crane
87;Kranich;Gruiformes;Gruidae;Grus grus;Common Crane
88;Zwergtaucher;Podicipediformes;Podicipedidae;Tachybaptus ruficollis;Little Grebe
89;Rothalstaucher;Podicipediformes;Podicipedidae;Podiceps grisegena;Red-necked Grebe
90;Haubentaucher;Podicipediformes;Podicipedidae;Podiceps cristatus;Great Crested Grebe
91;Ohrentaucher;Podicipediformes;Podicipedidae;Podiceps auritus;Horned Grebe
92;Schwarzhalstaucher;Podicipediformes;Podicipedidae;Podiceps nigricollis;Black-necked Grebe
93;Rosaflamingo;Phoenicopteriformes;Phoenicopteridae;Phoenicopterus roseus;Greater Flamingo
94;Chileflamingo;Phoenicopteriformes;Phoenicopteridae;Phoenicopterus chilensis;Chilean Flamingo
95;Triel;Charadriiformes;Burhinidae;Burhinus oedicnemus;Eurasian Stone-curlew
96;Austernfischer;Charadriiformes;Haematopodidae;Haematopus ostralegus;Eurasian Oystercatcher
97;Stelzenläufer;Charadriiformes;Recurvirostridae;Himantopus himantopus;Black-winged Stilt
98;Säbelschnäbler;Charadriiformes;Recurvirostridae;Recurvirostra avosetta;Pied Avocet
99;Kiebitz;Charadriiformes;Charadriidae;Vanellus vanellus;Northern Lapwing
100;Steppenkiebitz;Charadriiformes;Charadriidae;Vanellus gregarius;Sociable Lapwing
101;Weißschwanzkiebitz;Charadriiformes;Charadriidae;Vanellus leucurus;White-tailed Lapwing
102;Goldregenpfeifer;Charadriiformes;Charadriidae;Pluvialis apricaria;European Golden Plover
103;Pazifischer Goldregenpfeifer ;Charadriiformes;Charadriidae;Pluvialis fulva;(Tundra-Goldregenpfeifer)
104;Amerikanischer Goldregenpfeifer ;Charadriiformes;Charadriidae;Pluvialis dominica;(Prärie-Goldregenpfeifer)
105;Kiebitzregenpfeifer;Charadriiformes;Charadriidae;Pluvialis squatarola;Grey Plover
106;Sandregenpfeifer;Charadriiformes;Charadriidae;Charadrius hiaticula;Common Ringed Plover
107;Flussregenpfeifer;Charadriiformes;Charadriidae;Charadrius dubius;Little Ringed Plover
108;Seeregenpfeifer;Charadriiformes;Charadriidae;Anarhynchus alexandrinus;Kentish Plover
109;Wüstenregenpfeifer;Charadriiformes;Charadriidae;Anarhynchus leschenaultii;Greater Sand Plover
110;Mornellregenpfeifer;Charadriiformes;Charadriidae;Eudromias morinellus;Eurasian Dotterel
111;Regenbrachvogel;Charadriiformes;Scolopacidae;Numenius phaeopus;Eurasian Whimbrel
112;Dünnschnabel-Brachvogel;Charadriiformes;Scolopacidae;Numenius tenuirostris;Slender-billed Curlew
113;Großer Brachvogel (Brachvogel);Charadriiformes;Scolopacidae;Numenius arquata;Eurasian Curlew
114;Pfuhlschnepfe;Charadriiformes;Scolopacidae;Limosa lapponica;Bar-tailed Godwit
115;Uferschnepfe;Charadriiformes;Scolopacidae;Limosa limosa;Black-tailed Godwit
116;Steinwälzer;Charadriiformes;Scolopacidae;Arenaria interpres;Ruddy Turnstone
117;Knutt;Charadriiformes;Scolopacidae;Calidris canutus;Red Knot
118;Kampfläufer;Charadriiformes;Scolopacidae;Calidris pugnax;Ruff
119;Sumpfläufer;Charadriiformes;Scolopacidae;Calidris falcinellus;Broad-billed Sandpiper
120;Spitzschwanz-Strandläufer;Charadriiformes;Scolopacidae;Calidris acuminata;Sharp-tailed Sandpiper
121;Sichelstrandläufer;Charadriiformes;Scolopacidae;Calidris ferruginea;Curlew Sandpiper
122;Temminckstrandläufer;Charadriiformes;Scolopacidae;Calidris temminckii;Temminck's Stint
123;Sanderling;Charadriiformes;Scolopacidae;Calidris alba;Sanderling
124;Alpenstrandläufer;Charadriiformes;Scolopacidae;Calidris alpina;Dunlin
125;Meerstrandläufer;Charadriiformes;Scolopacidae;Calidris maritima;Purple Sandpiper
126;Bairdstrandläufer;Charadriiformes;Scolopacidae;Calidris bairdii;Baird's Sandpiper
127;Zwergstrandläufer;Charadriiformes;Scolopacidae;Calidris minuta;Little Stint
128;Weißbürzel-Strandläufer;Charadriiformes;Scolopacidae;Calidris fuscicollis;White-rumped Sandpiper
129;Grasläufer;Charadriiformes;Scolopacidae;Calidris subruficollis;Buff-breasted Sandpiper
130;Graubrust-Strandläufer;Charadriiformes;Scolopacidae;Calidris melanotos;Pectoral Sandpiper
131;Sandstrandläufer;Charadriiformes;Scolopacidae;Calidris pusilla;Semipalmated Sandpiper
132;Waldschnepfe;Charadriiformes;Scolopacidae;Scolopax rusticola;Eurasian Woodcock
133;Zwergschnepfe;Charadriiformes;Scolopacidae;Lymnocryptes minimus;Jack Snipe
134;Doppelschnepfe;Charadriiformes;Scolopacidae;Gallinago media;Great Snipe
135;Bekassine;Charadriiformes;Scolopacidae;Gallinago gallinago;Common Snipe
136;Terekwasserläufer;Charadriiformes;Scolopacidae;Xenus cinereus;Terek Sandpiper
137;Odinshühnchen;Charadriiformes;Scolopacidae;Phalaropus lobatus;Red-necked Phalarope
138;Thorshühnchen;Charadriiformes;Scolopacidae;Phalaropus fulicarius;Red Phalarope
139;Flussuferläufer;Charadriiformes;Scolopacidae;Actitis hypoleucos;Common Sandpiper
140;Drosseluferläufer;Charadriiformes;Scolopacidae;Actitis macularius;Spotted Sandpiper
141;Waldwasserläufer;Charadriiformes;Scolopacidae;Tringa ochropus;Green Sandpiper
142;Kleiner Gelbschenkel (Gelbschenkel);Charadriiformes;Scolopacidae;Tringa flavipes;Lesser Yellowlegs
143;Rotschenkel;Charadriiformes;Scolopacidae;Tringa totanus;Common Redshank
144;Teichwasserläufer;Charadriiformes;Scolopacidae;Tringa stagnatilis;Marsh Sandpiper
145;Bruchwasserläufer;Charadriiformes;Scolopacidae;Tringa glareola;Wood Sandpiper
146;Dunkler Wasserläufer (Dunkelwasserläufer);Charadriiformes;Scolopacidae;Tringa erythropus;Spotted Redshank
147;Grünschenkel;Charadriiformes;Scolopacidae;Tringa nebularia;Common Greenshank
148;Rennvogel;Charadriiformes;Glareolidae;Cursorius cursor;Cream-colored Courser
149;Rotflügel-Brachschwalbe;Charadriiformes;Glareolidae;Glareola pratincola;Collared Pratincole
150;Schwarzflügel-Brachschwalbe;Charadriiformes;Glareolidae;Glareola nordmanni;Black-winged Pratincole
151;Dreizehenmöwe;Charadriiformes;Laridae;Rissa tridactyla;Black-legged Kittiwake
152;Schwalbenmöwe;Charadriiformes;Laridae;Xema sabini;Sabine's Gull
153;Dünnschnabelmöwe;Charadriiformes;Laridae;Chroicocephalus genei;Slender-billed Gull
154;Lachmöwe;Charadriiformes;Laridae;Chroicocephalus ridibundus;Black-headed Gull
155;Zwergmöwe;Charadriiformes;Laridae;Hydrocoloeus minutus;Little Gull
156;Präriemöwe;Charadriiformes;Laridae;Leucophaeus pipixcan;Franklin's Gull
157;Korallenmöwe ;Charadriiformes;Laridae;Ichthyaetus audouinii;Audouin's Gull 
158;Schwarzkopfmöwe;Charadriiformes;Laridae;Ichthyaetus melanocephalus;Mediterranean Gull
159;Fischmöwe;Charadriiformes;Laridae;Ichthyaetus ichthyaetus;Pallas's Gull
160;Sturmmöwe;Charadriiformes;Laridae;Larus canus;Common Gull
161;Ringschnabelmöwe;Charadriiformes;Laridae;Larus delawarensis;Ring-billed Gull
162;Mantelmöwe;Charadriiformes;Laridae;Larus marinus;Great Black-backed Gull
163;Eismöwe;Charadriiformes;Laridae;Larus hyperboreus;Glaucous Gull
164;Polarmöwe;Charadriiformes;Laridae;Larus glaucoides;Iceland Gull
165;Silbermöwe;Charadriiformes;Laridae;Larus argentatus;European Herring Gull
166;Steppenmöwe;Charadriiformes;Laridae;Larus cachinnans;Caspian Gull
167;Mittelmeermöwe;Charadriiformes;Laridae;Larus michahellis;Yellow-legged Gull
168;Heringsmöwe;Charadriiformes;Laridae;Larus fuscus;Lesser Black-backed Gull
169;Lachseeschwalbe;Charadriiformes;Laridae;Gelochelidon nilotica;Gull-billed Tern
170;Raubseeschwalbe;Charadriiformes;Laridae;Hydroprogne caspia;Caspian Tern
171;Rüppellseeschwalbe;Charadriiformes;Laridae;Thalasseus bengalensis;Lesser Crested Tern
172;Brandseeschwalbe;Charadriiformes;Laridae;Thalasseus sandvicensis;Sandwich Tern
173;Zwergseeschwalbe;Charadriiformes;Laridae;Sternula albifrons;Little Tern
174;Rosenseeschwalbe;Charadriiformes;Laridae;Sterna dougallii;Roseate Tern
175;Flussseeschwalbe;Charadriiformes;Laridae;Sterna hirundo;Common Tern
176;Küstenseeschwalbe;Charadriiformes;Laridae;Sterna paradisaea;Arctic Tern
177;Weißbart-Seeschwalbe;Charadriiformes;Laridae;Chlidonias hybrida;Whiskered Tern
178;Weißflügel-Seeschwalbe;Charadriiformes;Laridae;Chlidonias leucopterus;White-winged Tern
179;Trauerseeschwalbe;Charadriiformes;Laridae;Chlidonias niger;Black Tern
180;Skua;Charadriiformes;Stercorariidae;Stercorarius skua;Great Skua
181;Spatelraubmöwe;Charadriiformes;Stercorariidae;Stercorarius pomarinus;Pomarine Jaeger
182;Schmarotzerraubmöwe;Charadriiformes;Stercorariidae;Stercorarius parasiticus;Parasitic Jaeger
183;Falkenraubmöwe;Charadriiformes;Stercorariidae;Stercorarius longicaudus;Long-tailed Jaeger
184;Krabbentaucher;Charadriiformes;Alcidae;Alle alle;Little Auk
185;Dickschnabellumme;Charadriiformes;Alcidae;Uria lomvia;Thick-billed Murre
186;Trottellumme;Charadriiformes;Alcidae;Uria aalge;Common Murre
187;Tordalk;Charadriiformes;Alcidae;Alca torda;Razorbill
188;Papageitaucher;Charadriiformes;Alcidae;Fratercula arctica;Atlantic Puffin
189;Sterntaucher;Gaviiformes;Gaviidae;Gavia stellata;Red-throated Loon
190;Prachttaucher;Gaviiformes;Gaviidae;Gavia arctica;Black-throated Loon
191;Eistaucher;Gaviiformes;Gaviidae;Gavia immer;Common Loon
192;Gelbschnabeltaucher;Gaviiformes;Gaviidae;Gavia adamsii;Yellow-billed Loon
193;Sturmwellenläufer;Procellariiformes;Hydrobatidae;Hydrobates pelagicus;European Storm Petrel
194;Wellenläufer;Procellariiformes;Hydrobatidae;Hydrobates leucorhous;Leach's Storm Petrel
195;Sepiasturmtaucher;Procellariiformes;Procellariidae;Calonectris diomedea;Scopoli's Shearwater
196;Mittelmeer-Sturmtaucher;Procellariiformes;Procellariidae;Puffinus yelkouan;Yelkouan Shearwater
197;Schwarzstorch;Ciconiiformes;Ciconiidae;Ciconia nigra;Black Stork
198;Weißstorch;Ciconiiformes;Ciconiidae;Ciconia ciconia;White Stork
199;Basstölpel;Suliformes;Sulidae;Morus bassanus;Northern Gannet
200;Zwergscharbe;Suliformes;Phalacrocoracidae;Microcarbo pygmaeus;Pygmy Cormorant
201;Kormoran;Suliformes;Phalacrocoracidae;Phalacrocorax carbo;Great Cormorant
202;Krähenscharbe;Suliformes;Phalacrocoracidae;Gulosus aristotelis;European Shag
203;Heiliger Ibis (Pharaonenibis);Pelecaniformes;Threskiornithidae;Threskiornis aethiopicus;African Sacred Ibis
204;Waldrapp;Pelecaniformes;Threskiornithidae;Geronticus eremita;Northern Bald Ibis
206;Sichler;Pelecaniformes;Threskiornithidae;Plegadis falcinellus;Glossy Ibis
207;Löffler;Pelecaniformes;Threskiornithidae;Platalea leucorodia;Eurasian Spoonbill
208;Rohrdommel;Pelecaniformes;Ardeidae;Botaurus stellaris;Eurasian Bittern
209;Zwergdommel;Pelecaniformes;Ardeidae;Ixobrychus minutus;Little Bittern
210;Nachtreiher;Pelecaniformes;Ardeidae;Nycticorax nycticorax;Black-crowned Night Heron
211;Rallenreiher;Pelecaniformes;Ardeidae;Ardeola ralloides;Squacco Heron
212;Kuhreiher;Pelecaniformes;Ardeidae;Bubulcus ibis;Western Cattle Egret
213;Graureiher;Pelecaniformes;Ardeidae;Ardea cinerea;Grey Heron
214;Purpurreiher;Pelecaniformes;Ardeidae;Ardea purpurea;Purple Heron
215;Silberreiher;Pelecaniformes;Ardeidae;Ardea alba;Great Egret
216;Seidenreiher;Pelecaniformes;Ardeidae;Egretta garzetta;Little Egret
217;Rosapelikan;Pelecaniformes;Pelecanidae;Pelecanus onocrotalus;Great White Pelican
218;Rötelpelikan;Pelecaniformes;Pelecanidae;Pelecanus rufescens;Pink-backed Pelican
219;Krauskopfpelikan;Pelecaniformes;Pelecanidae;Pelecanus crispus;Dalmatian Pelican
220;Fischadler;Accipitriformes;Pandionidae;Pandion haliaetus;Osprey
221;Gleitaar;Accipitriformes;Accipitridae;Elanus caeruleus;Black-winged Kite
222;Bartgeier;Accipitriformes;Accipitridae;Gypaetus barbatus;Bearded Vulture
223;Schmutzgeier;Accipitriformes;Accipitridae;Neophron percnopterus;Egyptian Vulture
224;Wespenbussard;Accipitriformes;Accipitridae;Pernis apivorus;European Honey Buzzard
226;Gänsegeier;Accipitriformes;Accipitridae;Gyps fulvus;Griffon Vulture
227;Mönchsgeier;Accipitriformes;Accipitridae;Aegypius monachus;Cinereous Vulture
228;Schlangenadler;Accipitriformes;Accipitridae;Circaetus gallicus;Short-toed Snake Eagle
229;Schreiadler;Accipitriformes;Accipitridae;Clanga pomarina;Lesser Spotted Eagle
230;Schelladler;Accipitriformes;Accipitridae;Clanga clanga;Greater Spotted Eagle
231;Zwergadler;Accipitriformes;Accipitridae;Hieraaetus pennatus;Booted Eagle
232;Steppenadler;Accipitriformes;Accipitridae;Aquila nipalensis;Steppe Eagle
233;Kaiseradler;Accipitriformes;Accipitridae;Aquila heliaca;Eastern Imperial Eagle
234;Steinadler;Accipitriformes;Accipitridae;Aquila chrysaetos;Golden Eagle
235;Habichtsadler;Accipitriformes;Accipitridae;Aquila fasciata;Bonelli's Eagle
236;Kurzfangsperber;Accipitriformes;Accipitridae;Accipiter brevipes;Levant Sparrowhawk
237;Sperber;Accipitriformes;Accipitridae;Accipiter nisus;Eurasian Sparrowhawk
238;Habicht;Accipitriformes;Accipitridae;Accipiter gentilis;Eurasian Goshawk
239;Rohrweihe;Accipitriformes;Accipitridae;Circus aeruginosus;Western Marsh Harrier
240;Kornweihe;Accipitriformes;Accipitridae;Circus cyaneus;Hen Harrier
241;Steppenweihe;Accipitriformes;Accipitridae;Circus macrourus;Pallid Harrier
242;Wiesenweihe;Accipitriformes;Accipitridae;Circus pygargus;Montagu's Harrier
243;Rotmilan;Accipitriformes;Accipitridae;Milvus milvus;Red Kite
244;Schwarzmilan;Accipitriformes;Accipitridae;Milvus migrans;Black Kite
245;Seeadler;Accipitriformes;Accipitridae;Haliaeetus albicilla;White-tailed Eagle
246;Raufußbussard;Accipitriformes;Accipitridae;Buteo lagopus;Rough-legged Buzzard
247;Adlerbussard;Accipitriformes;Accipitridae;Buteo rufinus;Long-legged Buzzard
248;Mäusebussard;Accipitriformes;Accipitridae;Buteo buteo;Common Buzzard
249;Schleiereule;Strigiformes;Tytonidae;Tyto alba;Western Barn Owl
250;Raufußkauz;Strigiformes;Strigidae;Aegolius funereus;Boreal Owl
251;Steinkauz;Strigiformes;Strigidae;Athene noctua;Little Owl
252;Sperbereule;Strigiformes;Strigidae;Surnia ulula;Northern Hawk-Owl
253;Sperlingskauz;Strigiformes;Strigidae;Glaucidium passerinum;Eurasian Pygmy Owl
254;Zwergohreule;Strigiformes;Strigidae;Otus scops;Eurasian Scops Owl
255;Waldohreule;Strigiformes;Strigidae;Asio otus;Long-eared Owl
256;Sumpfohreule;Strigiformes;Strigidae;Asio flammeus;Short-eared Owl
257;Schneeeule;Strigiformes;Strigidae;Bubo scandiacus;Snowy Owl
258;Uhu;Strigiformes;Strigidae;Bubo bubo;Eurasian Eagle-Owl
259;Waldkauz;Strigiformes;Strigidae;Strix aluco;Tawny Owl
260;Habichtskauz;Strigiformes;Strigidae;Strix uralensis;Ural Owl
262;Wiedehopf;Bucerotiformes;Upupidae;Upupa epops;Eurasian Hoopoe
263;Blauracke;Coraciiformes;Coraciidae;Coracias garrulus;European Roller
264;Eisvogel;Coraciiformes;Alcedinidae;Alcedo atthis;Common Kingfisher
265;Blauwangenspint;Coraciiformes;Meropidae;Merops persicus;Blue-cheeked Bee-eater
266;Bienenfresser;Coraciiformes;Meropidae;Merops apiaster;European Bee-eater
267;Wendehals;Piciformes;Picidae;Jynx torquilla;Eurasian Wryneck
268;Dreizehenspecht;Piciformes;Picidae;Picoides tridactylus;Eurasian Three-toed Woodpecker
269;Mittelspecht;Piciformes;Picidae;Dendrocoptes medius;Middle Spotted Woodpecker
270;Kleinspecht;Piciformes;Picidae;Dryobates minor;Lesser Spotted Woodpecker
271;Blutspecht;Piciformes;Picidae;Dendrocopos syriacus;Syrian Woodpecker
272;Buntspecht;Piciformes;Picidae;Dendrocopos major;Great Spotted Woodpecker
273;Weißrückenspecht;Piciformes;Picidae;Dendrocopos leucotos;White-backed Woodpecker
274;Schwarzspecht;Piciformes;Picidae;Dryocopus martius;Black Woodpecker
275;Grünspecht;Piciformes;Picidae;Picus viridis;European Green Woodpecker
276;Grauspecht;Piciformes;Picidae;Picus canus;Grey-headed Woodpecker
277;Rötelfalke;Falconiformes;Falconidae;Falco naumanni;Lesser Kestrel
278;Turmfalke;Falconiformes;Falconidae;Falco tinnunculus;Common Kestrel
279;Rotfußfalke;Falconiformes;Falconidae;Falco vespertinus;Red-footed Falcon
280;Eleonorenfalke;Falconiformes;Falconidae;Falco eleonorae;Eleonora's Falcon
