seq;order_name;family_name;scientific_name;common_name_en;common_name_de
1;STRUTHIONIFORMES;Struthionidae;Struthio camelus;Common Ostrich;Strauß
2;STRUTHIONIFORMES;Struthionidae;Struthio molybdophanes;Somali Ostrich;Somalistrauß
3;RHEIFORMES;Rheidae;Rhea americana;Greater Rhea;Nandu
4;RHEIFORMES;Rheidae;Rhea pennata;Lesser Rhea;Darwinnandu
5;APTERYGIFORMES;Apterygidae;Apteryx australis;Southern Brown Kiwi;Südstreifenkiwi
6;APTERYGIFORMES;Apterygidae;Apteryx mantelli;North Island Brown Kiwi;Nordstreifenkiwi
7;APTERYGIFORMES;Apterygidae;Apteryx rowi;Okarito Kiwi;Okaritokiwi
8;APTERYGIFORMES;Apterygidae;Apteryx owenii;Little Spotted Kiwi;Zwergkiwi
9;APTERYGIFORMES;Apterygidae;Apteryx maxima;Great Spotted Kiwi;Haastkiwi
10;CASUARIIFORMES;Casuariidae;Casuarius casuarius;Southern Cassowary;Helmkasuar
11;CASUARIIFORMES;Casuariidae;Casuarius bennetti;Dwarf Cassowary;Bennettkasuar
12;CASUARIIFORMES;Casuariidae;Casuarius unappendiculatus;Northern Cassowary;Einlappenkasuar
13;CASUARIIFORMES;Casuariidae;Dromaius novaehollandiae;Emu;Emu
14;TINAMIFORMES;Tinamidae;Tinamus tao;Grey Tinamou;Taotinamu
15;TINAMIFORMES;Tinamidae;Tinamus solitarius;Solitary Tinamou;Zimttinamu
16;TINAMIFORMES;Tinamidae;Tinamus osgoodi;Black Tinamou;Schwarztinamu
17;TINAMIFORMES;Tinamidae;Tinamus major;Great Tinamou;Großtinamu
18;TINAMIFORMES;Tinamidae;Tinamus guttatus;White-throated Tinamou;Weißkehltinamu
19;TINAMIFORMES;Tinamidae;Nothocercus bonapartei;Highland Tinamou;Bergtinamu
20;TINAMIFORMES;Tinamidae;Nothocercus julius;Tawny-breasted Tinamou;Gelbbrusttinamu
21;TINAMIFORMES;Tinamidae;Nothocercus nigrocapillus;Hooded Tinamou;Kapuzentinamu
22;TINAMIFORMES;Tinamidae;Crypturellus berlepschi;Berlepsch's Tinamou;Berlepschtinamu
23;TINAMIFORMES;Tinamidae;Crypturellus cinereus;Cinereous Tinamou;Grautinamu
24;TINAMIFORMES;Tinamidae;Crypturellus soui;Little Tinamou;Brauntinamu
25;TINAMIFORMES;Tinamidae;Crypturellus ptaritepui;Tepui Tinamou;Tepuitinamu
26;TINAMIFORMES;Tinamidae;Crypturellus obsoletus;Brown Tinamou;Kastanientinamu
27;TINAMIFORMES;Tinamidae;Crypturellus undulatus;Undulated Tinamou;Wellentinamu
28;TINAMIFORMES;Tinamidae;Crypturellus transfasciatus;Pale-browed Tinamou;Brauentinamu
29;TINAMIFORMES;Tinamidae;Crypturellus strigulosus;Brazilian Tinamou;Rotkehltinamu
30;TINAMIFORMES;Tinamidae;Crypturellus duidae;Grey-legged Tinamou;Graufußtinamu
31;TINAMIFORMES;Tinamidae;Crypturellus erythropus;Red-legged Tinamou;Rotfußtinamu
32;TINAMIFORMES;Tinamidae;Crypturellus noctivagus;Yellow-legged Tinamou;Gelbfußtinamu
33;TINAMIFORMES;Tinamidae;Crypturellus atrocapillus;Black-capped Tinamou;Schwarzkappentinamu
34;TINAMIFORMES;Tinamidae;Crypturellus cinnamomeus;Thicket Tinamou;Buschtinamu
35;TINAMIFORMES;Tinamidae;Crypturellus boucardi;Slaty-breasted Tinamou;Graukehltinamu
36;TINAMIFORMES;Tinamidae;Crypturellus kerriae;Choco Tinamou;Kerrtinamu
37;TINAMIFORMES;Tinamidae;Crypturellus variegatus;Variegated Tinamou;Rotbrusttinamu
38;TINAMIFORMES;Tinamidae;Crypturellus brevirostris;Rusty Tinamou;Rosttinamu
39;TINAMIFORMES;Tinamidae;Crypturellus bartletti;Bartlett's Tinamou;Bartletttinamu
40;TINAMIFORMES;Tinamidae;Crypturellus parvirostris;Small-billed Tinamou;Kleinschnabeltinamu
41;TINAMIFORMES;Tinamidae;Crypturellus casiquiare;Barred Tinamou;Bindentinamu
42;TINAMIFORMES;Tinamidae;Crypturellus tataupa;Tataupa Tinamou;Tataupatinamu
