Artname D;Artkürzel;Gewicht Mittelwert;Gewicht Std.-Abw.;Gewicht SD;Gewicht +/- %;Federlänge Mittelw.;Federlänge Std.-Abw.;Federlänge SD;Federlänge +/- %;Flügellänge Mittelw.;Flügellänge Std.-Abw.;Flügellänge SD;Flügellänge +/- %;Quotient Teilfederl./Flügell.;Quotient Teilfederl./Flügell. +/- %;Tarsus Mittelwert;Tarsus SD
Teichrohrsänger;acrsci;11.3992;1.748;1.96;95.00;50.8685;1.9598;1.96;95.00;66.967;8.2932;1.96;95.00;0.7634;3;22.53005;0.8196405
Bartmeise;panbia;14.1953;1.3415;1.96;95.00;44.6877;3.2212;1.96;95.00;59.7045;3.2565;1.96;95.00;0.7493;3;;
Drosselrohrsänger;acraru;29.1694;2.9023;1.96;95.00;72.5733;4.6751;1.96;95.00;96.1116;3.657;1.96;95.00;0.756;3;28.29897;1.438999
Haussperling;pasdom;27.12;2.681;1.96;95.00;59.025;1.3179;1.96;95.00;78.75;1.8941;1.96;95.00;0.7496;3;;
Mariskensänger;acrmel;11.1253;4.8047;1.96;95.00;43.6317;2.3678;1.96;95.00;58.4505;2.6168;1.96;95.00;0.7468;3;;
Mönchsgrasmücke;sylatr;18.5266;4.8447;1.96;95.00;56.7161;2.3667;1.96;95.00;75.3775;19.2607;1.96;95.00;0.7594;3;20.39353;0.6880621
Nachtigall;lusmeg;22.9423;2.9258;1.96;95.00;65.3403;2.6416;1.96;95.00;85.8621;3.2467;1.96;95.00;0.7596;3;26.79266;1.466376
Rohrschwirl;loclus;14.8559;1.218;1.96;95.00;51.1112;1.5002;1.96;95.00;69.9146;2.007;1.96;95.00;0.7312;3;20.93316;0.685519
Schilfrohrsänger;acrsch;11.3417;2.1286;1.96;95.00;50.9288;1.7558;1.96;95.00;67.1961;2.1924;1.96;95.00;0.7589;3;20.99587;0.7325847
Singdrossel;turphi;66.9785;5.3702;1.96;95.00;88.9346;3.3646;1.96;95.00;117.7674;2.7836;1.96;95.00;0.7554;3;31.91007;2.823129
Neuntöter;lancol;27.5918;2.2865;1.96;95.00;70.9296;2.3494;1.96;95.00;93.7133;2.384;1.96;95.00;0.757;3;22.91996;0.817737
Zaunkönig;trotro;9.1102;0.8136;1.96;95.00;36.6092;1.6585;1.96;95.00;48.9725;2.129;1.96;95.00;0.7541;3;;
Sumpfrohrsänger;acrpal;12.02525;1.119945;1.96;95.00;52.19424;1.58926;1.96;95.00;69.04217;5.197076;1.96;95.00;0.7562001;3;22.01962;0.7734401
Schwanzmeise;aegcau;7.927197;0.4489634;1.96;95.00;47.55728;1.380357;1.96;95.00;63.88205;1.780894;1.96;95.00;0.7466572;3;16.53934;0.7920509
Eisvogel;alcatt;38.1919;4.1748;1.96;95.00;55.786;1.7713;1.96;95.00;78.6281;1.5548;1.96;95.00;0.7096;3;11.13235;1.645477
Baumpieper;anttri;22.94855;3.864384;1.96;95.00;67.62164;2.371109;1.96;95.00;88.71371;2.809807;1.96;95.00;0.7632633;3;21.08704;0.6280206
Stieglitz;carcar;16.55043;1.294503;1.96;95.00;61.73616;2.031439;1.96;95.00;80.73395;2.383198;1.96;95.00;0.7646852;3;14.60743;1.043697
Grünling;carchl;26.31448;2.230747;1.96;95.00;66.67089;1.966516;1.96;95.00;88.00411;2.27481;1.96;95.00;0.7576259;3;17.58017;1.805549
Kernbeißer;coccoc;52.59559;3.973172;1.96;95.00;77.414;2.184081;1.96;95.00;103.9621;3.108686;1.96;95.00;0.7470802;3;21.26324;0.8609097
Mehlschwalbe;delurb;16.21667;1.715464;1.96;95.00;83.55926;1.864292;1.96;95.00;111.1136;3.146925;1.96;95.00;0.7540203;3;11.195;0.7037306
Buntspecht;denmaj;74.09087;5.754166;1.96;95.00;100.6051;3.156261;1.96;95.00;132.5263;3.373116;1.96;95.00;0.7591521;3;23.64023;0.9163212
Kleinspecht;denmin;20.40169;1.199572;1.96;95.00;69.03571;1.834956;1.96;95.00;89.67647;2.172792;1.96;95.00;0.769448;3;14.49744;0.5758744
Goldammer;embcit;28.08366;2.116725;1.96;95.00;67.3474;2.800884;1.96;95.00;88.41075;3.237075;1.96;95.00;0.7617428;3;19.43147;0.7656831
Rohrammer;embsch;19.28123;1.829363;1.96;95.00;59.65826;2.958613;1.96;95.00;78.60468;3.474922;1.96;95.00;0.7591351;3;19.70504;0.7976812
Rotkehlchen;erirub;16.14751;1.404185;1.96;95.00;53.85954;1.628479;1.96;95.00;72.66344;1.889757;1.96;95.00;0.7410921;3;24.76812;1.048223
Trauerschnäpper;fichyp;12.20204;1.163416;1.96;95.00;61.12766;1.718657;1.96;95.00;80;1.606672;1.96;95.00;0.7620416;3;17.31304;0.5230716
Buchfink;fricoe;22.33644;2.105535;1.96;95.00;66.3587;2.904493;1.96;95.00;86.84762;3.439815;1.96;95.00;0.7669854;3;18.03333;0.8869807
Gelbspötter;hipict;12.69107;0.7398469;1.96;95.00;59.02941;1.653759;1.96;95.00;77.92857;1.949893;1.96;95.00;0.7579402;3;20.29804;0.6136742
Rauchschwalbe;hirrus;19.27611;1.720313;1.96;95.00;94.52471;3.238531;1.96;95.00;122.9435;3.135954;1.96;95.00;0.7689183;3;11.20389;0.6404528
